id_temp,timestamp,temperature,sensor_id_temp,id_hum,humidity,sensor_id_hum,hour,day_of_week,anomaly
41627,2024-09-03 15:22:11.551182,-3.1136842455589853,3,41628,2.953636107139373,4,15,1,-1
41630,2024-09-03 15:23:14.985381,-3.169683830617996,3,41631,2.953636107139373,4,15,1,-1
41637,2024-09-03 15:26:25.218706,-3.169683830617996,3,41638,2.953636107139373,4,15,1,-1
41640,2024-09-03 15:27:28.662152,-2.9456854903819534,3,41641,3.1208340485099844,4,15,1,-1
41643,2024-09-03 15:28:32.048129,-2.777686735204921,3,41644,3.1208340485099844,4,15,1,-1
41648,2024-09-03 15:30:38.758761,-2.4416892248508564,3,41649,3.1208340485099844,4,15,1,-1
41653,2024-09-03 15:32:45.480726,-2.161691299555803,3,41654,2.953636107139373,4,15,1,-1
41656,2024-09-03 15:33:48.896314,-2.2736904696738245,3,41657,2.7864381657687614,4,15,1,-1
41659,2024-09-03 15:34:52.312657,-2.4976888099098673,3,41660,2.7864381657687614,4,15,1,-1
41666,2024-09-03 15:38:02.312196,-3.057684660499975,3,41667,2.953636107139373,4,15,1,-1
41669,2024-09-03 15:39:05.722971,-2.9456854903819534,3,41670,3.1208340485099844,4,15,1,-1
41676,2024-09-03 15:42:15.688340,-2.4976888099098673,3,41677,2.953636107139373,4,15,1,-1
41679,2024-09-03 15:43:19.113297,-2.2736904696738245,3,41680,2.7864381657687614,4,15,1,-1
41682,2024-09-03 15:44:22.567472,-2.161691299555803,3,41683,2.61924022439815,4,15,1,-1
43759,2024-09-04 04:50:37.572319,-2.6656875650868996,3,43760,1.783250517545093,4,4,2,-1
43762,2024-09-04 04:51:41.002098,-2.72168715014591,3,43763,1.783250517545093,4,4,2,-1
43765,2024-09-04 04:52:44.411337,-2.777686735204921,3,43766,1.783250517545093,4,4,2,-1
43768,2024-09-04 04:53:47.808508,-2.9456854903819534,3,43769,1.783250517545093,4,4,2,-1
43771,2024-09-04 04:54:51.232291,-3.1136842455589853,3,43772,1.783250517545093,4,4,2,-1
43774,2024-09-04 04:55:54.671704,-3.057684660499975,3,43775,1.783250517545093,4,4,2,-1
43779,2024-09-04 04:58:01.375413,-3.2816830007360176,3,43780,1.9504484589157043,4,4,2,-1
43782,2024-09-04 04:59:04.803307,-3.225683415677007,3,43783,1.9504484589157043,4,4,2,-1
43787,2024-09-04 05:01:11.522772,-2.6656875650868996,3,43788,1.9504484589157043,4,5,2,-1
43811,2024-09-04 05:09:38.859784,-2.9456854903819534,3,43812,1.783250517545093,4,5,2,-1
43814,2024-09-04 05:10:42.266489,-3.057684660499975,3,43815,1.783250517545093,4,5,2,-1
43817,2024-09-04 05:11:45.675215,-3.001685075440964,3,43818,1.783250517545093,4,5,2,-1
43849,2024-09-04 05:23:23.187702,-3.1136842455589853,3,43850,1.783250517545093,4,5,2,-1
43852,2024-09-04 05:24:26.604304,-3.1136842455589853,3,43853,1.9504484589157043,4,5,2,-1
43857,2024-09-04 05:26:33.322903,-2.777686735204921,3,43858,1.9504484589157043,4,5,2,-1
43880,2024-09-04 05:36:03.538889,-3.001685075440964,3,43881,1.783250517545093,4,5,2,-1
43883,2024-09-04 05:37:06.948239,-3.169683830617996,3,43884,1.783250517545093,4,5,2,-1
43886,2024-09-04 05:38:10.349102,-3.225683415677007,3,43887,1.9504484589157043,4,5,2,-1
43891,2024-09-04 05:40:17.022558,-2.777686735204921,3,43892,1.9504484589157043,4,5,2,-1
43894,2024-09-04 05:41:20.438104,-2.6656875650868996,3,43895,1.9504484589157043,4,5,2,-1
43921,2024-09-04 05:51:54.286073,-3.225683415677007,3,43922,1.9504484589157043,4,5,2,-1
43924,2024-09-04 05:52:57.700849,-3.169683830617996,3,43925,1.9504484589157043,4,5,2,-1
43927,2024-09-04 05:54:01.110430,-2.9456854903819534,3,43928,1.9504484589157043,4,5,2,-1
43930,2024-09-04 05:55:04.516686,-2.777686735204921,3,43931,1.9504484589157043,4,5,2,-1
43956,2024-09-04 06:04:35.200068,-3.001685075440964,3,43957,1.783250517545093,4,6,2,-1
43961,2024-09-04 06:06:41.960644,-3.2816830007360176,3,43962,1.9504484589157043,4,6,2,-1
43964,2024-09-04 06:07:45.393840,-3.057684660499975,3,43965,1.9504484589157043,4,6,2,-1
43967,2024-09-04 06:08:48.787232,-2.9456854903819534,3,43968,1.9504484589157043,4,6,2,-1
44015,2024-09-04 06:26:46.582889,-3.44968175591305,3,44016,1.783250517545093,4,6,2,-1
44018,2024-09-04 06:27:49.991216,-3.3376825857950285,3,44019,1.783250517545093,4,6,2,-1
